% t[ms]   command[pwmU]  encoderPos[ticks]    angle[degrees]    velocity[deg/s]    acceleration[deg/s^2]  bufferOverflow 	 iRead iToRead i 
69.00  	 255.00	-77 -2310.00 -60.00 -30.00 	 % dT =  1000.00
70.00  	 255.00	-79 -2370.00 -60.00 0.00 	 % dT =  1000.00
71.00  	 255.00	-81 -2430.00 -60.00 0.00 	 % dT =  1000.00
72.00  	 255.00	-82 -2460.00 -30.00 30.00 	 % dT =  1000.00
73.00  	 255.00	-84 -2520.00 -60.00 -30.00 	 % dT =  1000.00
74.00  	 255.00	-85 -2550.00 -30.00 30.00 	 % dT =  1000.00
75.00  	 255.00	-87 -2610.00 -60.00 -30.00 	 % dT =  1000.00
76.00  	 255.00	-89 -2670.00 -60.00 0.00 	 % dT =  1000.00
77.00  	 255.00	-90 -2700.00 -30.00 30.00 	 % dT =  1000.00
78.00  	 255.00	-93 -2790.00 -90.00 -60.00 	 % dT =  1000.00
79.00  	 255.00	-94 -2820.00 -30.00 60.00 	 % dT =  1000.00
80.00  	 255.00	-95 -2850.00 -30.00 0.00 	 % dT =  1000.00
81.00  	 255.00	-97 -2910.00 -60.00 -30.00 	 % dT =  1000.00
82.00  	 255.00	-99 -2970.00 -60.00 0.00 	 % dT =  1000.00
83.00  	 255.00	-101 -3030.00 -60.00 0.00 	 % dT =  1000.00
84.00  	 255.00	-102 -3060.00 -30.00 30.00 	 % dT =  1000.00
85.00  	 255.00	-104 -3120.00 -60.00 -30.00 	 % dT =  1000.00
86.00  	 255.00	-105 -3150.00 -30.00 30.00 	 % dT =  1000.00
87.00  	 255.00	-107 -3210.00 -60.00 -30.00 	 % dT =  1000.00
88.00  	 255.00	-109 -3270.00 -60.00 0.00 	 % dT =  1000.00
89.00  	 255.00	-111 -3330.00 -60.00 0.00 	 % dT =  1000.00
90.00  	 255.00	-112 -3360.00 -30.00 30.00 	 % dT =  1000.00
91.00  	 255.00	-114 -3420.00 -60.00 -30.00 	 % dT =  1000.00
92.00  	 255.00	-116 -3480.00 -60.00 0.00 	 % dT =  1000.00
93.00  	 255.00	-117 -3510.00 -30.00 30.00 	 % dT =  1000.00
94.00  	 255.00	-119 -3570.00 -60.00 -30.00 	 % dT =  1000.00
95.00  	 255.00	-121 -3630.00 -60.00 0.00 	 % dT =  1000.00
96.00  	 255.00	-123 -3690.00 -60.00 0.00 	 % dT =  1000.00
97.00  	 255.00	-124 -3720.00 -30.00 30.00 	 % dT =  1000.00
98.00  	 255.00	-126 -3780.00 -60.00 -30.00 	 % dT =  1000.00
99.00  	 255.00	-128 -3840.00 -60.00 0.00 	 % dT =  1000.00
100.00  	 255.00	-129 -3870.00 -30.00 30.00 	 % dT =  1000.00
101.00  	 255.00	-131 -3930.00 -60.00 -30.00 	 % dT =  1000.00
102.00  	 255.00	-133 -3990.00 -60.00 0.00 	 % dT =  1000.00
103.00  	 255.00	-135 -4050.00 -60.00 0.00 	 % dT =  1000.00
104.00  	 255.00	-137 -4110.00 -60.00 0.00 	 % dT =  1000.00
105.00  	 255.00	-138 -4140.00 -30.00 30.00 	 % dT =  1000.00
106.00  	 255.00	-140 -4200.00 -60.00 -30.00 	 % dT =  1000.00
107.00  	 255.00	-142 -4260.00 -60.00 0.00 	 % dT =  1000.00
108.00  	 255.00	-143 -4290.00 -30.00 30.00 	 % dT =  1000.00
109.00  	 255.00	-145 -4350.00 -60.00 -30.00 	 % dT =  1000.00
110.00  	 255.00	-147 -4410.00 -60.00 0.00 	 % dT =  1000.00
111.00  	 255.00	-149 -4470.00 -60.00 0.00 	 % dT =  1000.00
112.00  	 255.00	-150 -4500.00 -30.00 30.00 	 % dT =  1000.00
113.00  	 255.00	-153 -4590.00 -90.00 -60.00 	 % dT =  1000.00
114.00  	 255.00	-154 -4620.00 -30.00 60.00 	 % dT =  1000.00
115.00  	 255.00	-156 -4680.00 -60.00 -30.00 	 % dT =  1000.00
116.00  	 255.00	-157 -4710.00 -30.00 30.00 	 % dT =  1000.00
117.00  	 255.00	-159 -4770.00 -60.00 -30.00 	 % dT =  1000.00
118.00  	 255.00	-161 -4830.00 -60.00 0.00 	 % dT =  1000.00
119.00  	 255.00	-162 -4860.00 -30.00 30.00 	 % dT =  1000.00
120.00  	 255.00	-165 -4950.00 -90.00 -60.00 	 % dT =  1000.00
121.00  	 255.00	-166 -4980.00 -30.00 60.00 	 % dT =  1000.00
122.00  	 255.00	-168 -5040.00 -60.00 -30.00 	 % dT =  1000.00
123.00  	 255.00	-169 -5070.00 -30.00 30.00 	 % dT =  1000.00
124.00  	 255.00	-171 -5130.00 -60.00 -30.00 	 % dT =  1000.00
125.00  	 255.00	-173 -5190.00 -60.00 0.00 	 % dT =  1000.00
126.00  	 255.00	-175 -5250.00 -60.00 0.00 	 % dT =  1000.00
127.00  	 255.00	-177 -5310.00 -60.00 0.00 	 % dT =  1000.00
128.00  	 255.00	-178 -5340.00 -30.00 30.00 	 % dT =  1000.00
129.00  	 255.00	-180 -5400.00 -60.00 -30.00 	 % dT =  1000.00
130.00  	 255.00	-182 -5460.00 -60.00 0.00 	 % dT =  1000.00
131.00  	 255.00	-184 -5520.00 -60.00 0.00 	 % dT =  1000.00
132.00  	 255.00	-186 -5580.00 -60.00 0.00 	 % dT =  1000.00
133.00  	 255.00	-187 -5610.00 -30.00 30.00 	 % dT =  1000.00
134.00  	 255.00	-189 -5670.00 -60.00 -30.00 	 % dT =  1000.00
135.00  	 255.00	-191 -5730.00 -60.00 0.00 	 % dT =  1000.00
136.00  	 255.00	-193 -5790.00 -60.00 0.00 	 % dT =  1000.00
137.00  	 255.00	-194 -5820.00 -30.00 30.00 	 % dT =  1000.00
138.00  	 255.00	-196 -5880.00 -60.00 -30.00 	 % dT =  1000.00
139.00  	 255.00	-198 -5940.00 -60.00 0.00 	 % dT =  1000.00
140.00  	 255.00	-199 -5970.00 -30.00 30.00 	 % dT =  1000.00
141.00  	 255.00	-201 -6030.00 -60.00 -30.00 	 % dT =  1000.00
142.00  	 255.00	-203 -6090.00 -60.00 0.00 	 % dT =  1000.00
143.00  	 255.00	-205 -6150.00 -60.00 0.00 	 % dT =  1000.00
144.00  	 255.00	-207 -6210.00 -60.00 0.00 	 % dT =  1000.00
145.00  	 255.00	-209 -6270.00 -60.00 0.00 	 % dT =  1000.00
146.00  	 255.00	-210 -6300.00 -30.00 30.00 	 % dT =  1000.00
147.00  	 255.00	-212 -6360.00 -60.00 -30.00 	 % dT =  1000.00
148.00  	 255.00	-214 -6420.00 -60.00 0.00 	 % dT =  1002.00
149.00  	 255.00	-215 -6450.00 -30.00 30.00 	 % dT =  998.00
150.00  	 255.00	-217 -6510.00 -60.00 -30.00 	 % dT =  1000.00
151.00  	 255.00	-219 -6570.00 -60.00 0.00 	 % dT =  1000.00
152.00  	 255.00	-221 -6630.00 -60.00 0.00 	 % dT =  1000.00
153.00  	 255.00	-222 -6660.00 -30.00 30.00 	 % dT =  1000.00
154.00  	 255.00	-225 -6750.00 -90.00 -60.00 	 % dT =  1000.00
155.00  	 255.00	-226 -6780.00 -30.00 60.00 	 % dT =  1002.00
156.00  	 255.00	-228 -6840.00 -60.00 -30.00 	 % dT =  998.00
157.00  	 255.00	-229 -6870.00 -30.00 30.00 	 % dT =  1003.00
158.00  	 255.00	-231 -6930.00 -60.00 -30.00 	 % dT =  997.00
159.00  	 255.00	-233 -6990.00 -60.00 0.00 	 % dT =  1000.00
160.00  	 255.00	-235 -7050.00 -60.00 0.00 	 % dT =  1000.00
161.00  	 255.00	-237 -7110.00 -60.00 0.00 	 % dT =  1000.00
162.00  	 255.00	-238 -7140.00 -30.00 30.00 	 % dT =  1000.00
163.00  	 255.00	-240 -7200.00 -60.00 -30.00 	 % dT =  1000.00
164.00  	 255.00	-242 -7260.00 -60.00 0.00 	 % dT =  1003.00
165.00  	 255.00	-244 -7320.00 -60.00 0.00 	 % dT =  997.00
166.00  	 255.00	-246 -7380.00 -60.00 0.00 	 % dT =  1000.00
167.00  	 255.00	-247 -7410.00 -30.00 30.00 	 % dT =  1000.00
168.00  	 255.00	-249 -7470.00 -60.00 -30.00 	 % dT =  1000.00
169.00  	 255.00	-251 -7530.00 -60.00 0.00 	 % dT =  1000.00
170.00  	 255.00	-253 -7590.00 -60.00 0.00 	 % dT =  1000.00
171.00  	 255.00	-254 -7620.00 -30.00 30.00 	 % dT =  1000.00
172.00  	 255.00	-256 -7680.00 -60.00 -30.00 	 % dT =  1000.00
173.00  	 255.00	-258 -7740.00 -60.00 0.00 	 % dT =  1000.00
174.00  	 255.00	-260 -7800.00 -60.00 0.00 	 % dT =  1000.00
175.00  	 255.00	-261 -7830.00 -30.00 30.00 	 % dT =  1000.00
176.00  	 255.00	-263 -7890.00 -60.00 -30.00 	 % dT =  1000.00
177.00  	 255.00	-265 -7950.00 -60.00 0.00 	 % dT =  1002.00
178.00  	 255.00	-267 -8010.00 -60.00 0.00 	 % dT =  998.00
179.00  	 255.00	-269 -8070.00 -60.00 0.00 	 % dT =  1000.00
180.00  	 255.00	-270 -8100.00 -30.00 30.00 	 % dT =  1000.00
181.00  	 255.00	-273 -8190.00 -90.00 -60.00 	 % dT =  1000.00
